章	章题	段	本站上下文(〔〕内为本站读法)	本站读法	劝学网本	古诗文本	差异类型	同书内证(全书只留汉字计次;讹写含本处)	标出来源	判定	依据	建议 typoFix
18	十八、中和	6	乃止，如猩嗜〔洒〕，鞭血方休	洒	酒	酒	形近讹	正写 「嗜酒鞭」0 「嗜酒」0 「酒鞭」0;讹写「嗜洒鞭」2	注疏	B	两见证本作「猩嗜酒」	，如猩嗜洒，鞭血 → ，如猩嗜酒，鞭血
19	十九、源流	1	原注：不必论〔当令不发令〕，只论取最多	当令不发令	同本站	同本站	见证本亦同		注疏	C		
19	十九、源流	1	，得从引助，〔所以为憎也〕。	所以为憎也	同本站	同本站	见证本亦同	正写 「为僧也」0 「为僧」7 「僧也」0;讹写「为憎也」1	注疏	B	憎/僧形近;本章第四造「削发为僧」	所以为憎也 → 所以为僧也
19	十九、源流	2	穷极源之正理〔不同谷书之廖论〕也。	不同谷书之廖论	同本站	同本站	见证本亦同	正写 「同俗书之谬论」0 「同俗书之谬」0 「俗书之谬论」0;讹写「同谷书之廖论」1	白话+注疏	B	谷/俗、廖/谬形近;同书「俗书」	不同谷书之廖论 → 不同俗书之谬论
19	十九、源流	6	簇，盼五福之〔絣致〕。	絣致	同本站	同本站	见证本亦同		注疏	C		
19	十九、源流	8	。初运庚寅，〔叼上人之福〕；己丑运合子	叼上人之福	同本站	同本站	见证本亦同	正写 「寅叨上」0 「寅叨」0 「叨上」0;讹写「寅叼上」1	注疏	B	叼/叨形近	叼上人之福 → 叨上人之福
19	十九、源流	10	头，年支寅木〔主节〕，月干壬水隔	主节	同本站	同本站	见证本亦同	正写 「木阻节」0 「木阻」0 「阻节」9;讹写「木主节」1	注疏	C		
19	十九、源流	10	尧天舜日恩；〔一交水春花盛〕，人被尧天舜	一交水春花盛	同本站	同本站	见证本亦同		注疏	C		
20	二十、通关	1	原注：天气欲〔不〕降，地气欲上	不	同本站	下	形近讹	正写 「欲下降」0 「欲下」0 「下降」7;讹写「欲不降」1		A	古诗文本作「天气欲下降」;与「地气欲上升」对	欲不降 → 欲下降
20	二十、通关	1	欲上升，欲相〔俣〕相和相生也。	俣	合	合	形近讹	正写 「相合相」1 「相合」9 「合相」1;讹写「相俣相」1		A	两见证本作「相合」	相俣相 → 相合相
20	二十、通关	1	水而要金，金〔林〕而要水，皆是	林	木	木	形近讹	正写 「金木而」0 「金木」9 「木而」29;讹写「金林而」1	白话	A	两见证本作「金木而要水」;与上「木」对	金林而 → 金木而
20	二十、通关	1	间之物，前后〔〕下下，授引得	∅	上	上	脱文	正写 「后上下」2 「后上」2 「上下」19;讹写「后下下」1		A	两见证本作「前后上下」;同段重出之原注亦作「前后上下」	前后下下 → 前后上下
20	二十、通关	1	物，明见暗会〔赠〕运相逢，乃为	赠	岁	≈赠运相逢乃为通关也必得引用无合之神及刑冲所间之物前后上下援引得来能胜劫占之神能补所缺之物明见暗会>	形近讹	正写 「会岁运」1 「会岁」1 「岁运」73;讹写「会赠运」1		A	劝学网本作「岁」;同段重出之原注作「岁运相逢」	会赠运 → 会岁运
20	二十、通关	1	物，明见暗会〔赠运相逢，乃为通关也。必得引用无合之神，及刑冲所间之物，前后上下，援引得来，能胜劫占之神，能补所缺之物，明见暗会〕，岁运相逢，	赠运相逢，乃为通关也。必得引用无合之神，及刑冲所间之物，前后上下，援引得来，能胜劫占之神，能补所缺之物，明见暗会	≈赠>岁		衍文(重出)	正写 「会岁」1 「会」131 「岁」123;讹写「会赠运相逢乃为通关也必得引用无合之神及刑冲所间之物前后上下援引得来能胜劫占之神能补所缺之物明见暗会岁」1		C	原注在本站重出一遍;古诗文本无此重出,劝学网本有;删段须主会话定	
20	二十、通关	1	为通关也。关〔爱〕而其愿遂矣，	爱	通	通	形近讹	正写 「关通而」0 「关通」1 「通而」1;讹写「关爱而」1		B	两见证本作「关通」	关爱而 → 关通而
20	二十、通关	2	，煞藏印亦，〔〕此显然通达，	∅	藏	藏	脱文	正写 「亦藏此」0 「亦藏」2 「藏此」1;讹写「亦此」2		B	两见证本作「煞藏印亦藏」(与上「露印亦露」对)	煞藏印亦，此显 → 煞藏印亦藏，此显
20	二十、通关	6	癸水临旺，贴〔峰〕相克，被戊土	峰	身	身	形近讹	正写 「贴身相」2 「贴身」9 「身相」2;讹写「贴峰相」1		A	两见证本作「贴身」;同书「贴身」8 见	贴峰相 → 贴身相
21	二十一、官杀	1	从官象，不可〔命〕杀混也。	命	使	使	形近讹	正写 「可使杀」1 「可使」6 「使杀」1;讹写「可命杀」1		A	两见证本作「不可使杀混」	可命杀 → 可使杀
21	二十一、官杀	16	海，裕后光前〔后〕。	后	也	也	形近讹	正写 「前也」0 「前也」0 「也」1164;讹写「前后」7		A	两见证本作「裕后光前也」	光前后。 → 光前也。
21	二十一、官杀	18	蹬功名，刑耗〔并见，已未〕交运，干制杀	并见，已未	同本站	同本站	见证本亦同	正写 「见己未」0 「见己」2 「己未」20;讹写「见已未」1	扫描	B	「已」非天干;大运 辛酉 庚申 己未	并见，已未 → 并见，己未
21	二十一、官杀	25	杀势猖狂。喜〔而〕日时坐戌，通	而	其	其	形近讹	正写 「喜其日」1 「喜其」91 「其日」1;讹写「喜而日」1		A	两见证本作「喜其」	喜而日 → 喜其日
21	二十一、官杀	32	巳乃南方之火〔火〕，癸临绝地，	火			衍文	正写 「火癸」3 「火」1327 「癸」320;讹写「火火癸」1		A	两见证本无叠「火」	之火火， → 之火，
21	二十一、官杀	32	临绝地，杯水〔舆〕薪，喜其混也	舆	车	车	形近讹	正写 「水车薪」2 「水车」2 「车薪」2;讹写「水舆薪」1		A	两见证本作「杯水车薪」	水舆薪 → 水车薪
21	二十一、官杀	40	而知制诰，陪〔待〕从而应传宣也	待	侍	侍	形近讹	正写 「陪侍从」0 「陪侍」0 「侍从」0;讹写「陪待从」1		B	两见证本作「陪侍从」	陪待从 → 陪侍从
21	二十一、官杀	42	火，所以早遂〔表〕钱之选，兆人	表	青	青	形近讹	正写 「遂青钱」1 「遂青」4 「青钱」3;讹写「遂表钱」1		A	两见证本作「青钱之选」	遂表钱 → 遂青钱
21	二十一、官杀	59	合已化土，丁〔外艰：已巳〕年又冲去亥水	外艰：已巳	同本站	同本站	见证本亦同	正写 「艰己巳」0 「艰己」0 「己巳」18;讹写「艰已巳」1	扫描	B	「已」非天干	外艰：已巳 → 外艰：己巳
21	二十一、官杀	61	致蹭蹬秋闱纳〔捐瞩，仁路〕亦不能通达。	捐瞩，仁路	同本站	同本站	见证本亦同	正写 「瞩仕路」0 「瞩仕」0 「仕路」28;讹写「瞩仁路」1	扫描	B	仕路 28 见	捐瞩，仁路 → 捐瞩，仕路
21	二十一、官杀	63	点中书；庚运〔仁版〕连登，入参军	仁版	同本站	同本站	见证本亦同	正写 「运仕版」1 「运仕」9 「仕版」6;讹写「运仁版」1	注疏+扫描	B	仕版 6 见	运仁版 → 运仕版
22	二十二、伤官	1	财，皆不可见〔宫〕。又要看身强	宫	官	官	形近讹	正写 「见官又」0 「见官」23 「官又」5;讹写「见宫又」1		A	两见证本作「官」	可见宫。 → 可见官。
22	二十二、伤官	2	逢印旺必贵；〔〕官民用官，运	∅	伤	伤	脱文	正写 「贵伤官用」0 「贵伤官」0 「伤官用」25;讹写「贵官民用」1		A	两见证本作「伤官用官」	官民用官 → 伤官用官
22	二十二、伤官	11	伤官，印绶通〔奶〕禄支，格局未	奶	根	根	形近讹	正写 「通根禄」3 「通根」98 「根禄」3;讹写「通奶禄」1		A	两见证本作「通根」	通奶禄 → 通根禄
22	二十二、伤官	11	。虽嫌财星坏〔屯〕，而丑辰皆湿	屯	印	印	形近讹	正写 「坏印而」0 「坏印」35 「印而」24;讹写「坏屯而」1		A	两见证本作「财星坏印」	星坏屯， → 星坏印，
22	二十二、伤官	16	起倒万状。至〔戊〕运，紧制亥水	戊	戌	戌	形近讹	正写 「至戌运」2 「至戌」3 「戌运」29;讹写「至戊运」4		A	两见证本作「戌运」;大运庚戌,戌合卯化财	状。至戊运， → 状。至戌运，
22	二十二、伤官	29	伤官，若生丑〔戌〕月，为从儿格	戌	辰	辰	形近讹	正写 「丑辰月」1 「丑辰」11 「辰月」12;讹写「丑戌月」2		B	两见证本作「丑辰月」(湿土)	生丑戌月 → 生丑辰月
22	二十二、伤官	29	，为从儿格，〔甸〕利皆遂。生于	甸	名	名	形近讹	正写 「格名利」0 「格名」1 「名利」76;讹写「格甸利」1		A	两见证本作「名利」	格，甸利 → 格，名利
24	二十四、浊气	2	之浊也；或官〔旺〕喜印，财星坏	旺	衰	衰	形近讹	正写 「官衰喜」1 「官衰」15 「衰喜」1;讹写「官旺喜」2		C	见证本作「官衰喜印」;本站「官旺喜印」亦通	
25	二十五、真神	1	注：如木火透〔音〕，生寅月，聚	音	者	者	形近讹	正写 「透者生」0 「透者」2 「者生」11;讹写「透音生」1	注疏	B	两见证本作「透者」	火透音， → 火透者，
25	二十五、真神	1	不为忌神所害〔财〕贵。如参以金	财	则	则	形近讹	正写 「害则贵」0 「害则」2 「则贵」0;讹写「害财贵」0		B	两见证本作「则贵」	害财贵 → 害则贵
25	二十五、真神	2	再定运程之宜〔忆〕，则穷通了然	忆	忌	忌	形近讹	正写 「宜忌则」0 「宜忌」3 「忌则」3;讹写「宜忆则」1		A	两见证本作「宜忌」	之宜忆， → 之宜忌，
25	二十五、真神	4	东刘中堂造，〔已〕土卑薄，生于	已	同本站	己	形近讹	正写 「造己土」1 「造己」1 「己土」61;讹写「造已土」1	白话+注疏+扫描	A	古诗文本作「己土」;天干	造，已土 → 造，己土
25	二十五、真神	4	，负经邦论道〔这〕才也。	这	之	之	形近讹	正写 「道之才」0 「道之」1 「之才」20;讹写「道这才」1	白话+注疏+扫描	A	两见证本作「之才」	道这才 → 道之才
26	二十六、假神	2	，真神失势。〔收〕神得局，法当	收	假	假	形近讹	正写 「势假神」2 「势假」2 「假神」14;讹写「势收神」1	注疏	A	两见证本作「假神得局」;同段「真神失势，假神得局」	势。收神 → 势。假神
26	二十六、假神	2	，必须岁运扶〔直〕抑假，亦可发	直	真	真	形近讹	正写 「扶真抑」0 「扶真」3 「真抑」0;讹写「扶直抑」1	注疏	B	两见证本作「扶真抑假」(注疏疑真假倒,不从)	扶直抑 → 扶真抑
26	二十六、假神	2	能救人也。有〔的〕是病而服是药	的			衍文	正写 「有是」3 「有」1016 「是」356;讹写「有的是」1		A	两见证本无「的」	有的是 → 有是
26	二十六、假神	6	：乙酉更佳，〔仕〕至州牧：一交	仕	仁	仁	本站已改			-		
27	二十七、刚柔	1	遇恩威，则成〔淫〕贱。如乙木生	淫	同本站	婬	异体			-		
27	二十七、刚柔	2	；失时休囚，〔原局无劫印邦身〕，用食神制杀	原局无劫印邦身	同本站	同本站	见证本亦同	正写 「印帮身」0 「印帮」0 「帮身」41;讹写「印邦身」1	白话	B	邦/帮形近;「帮身」习见	原局无劫印邦身 → 原局无劫印帮身
27	二十七、刚柔	8	。至癸巳运，〔〕全无金局，癸	∅	支	支	脱文	正写 「运支全金」0 「运支全」1 「支全金」4;讹写「运全无金」1		B	两见证本作「支全金局」(巳酉丑)	全无金局 → 支全金局
27	二十七、刚柔	10	，更妙甲木透〔出〕，谓藤萝系甲	出	时	时	形近讹	正写 「透时谓」0 「透时」2 「时谓」3;讹写「透出谓」2		C	见证本作「甲木透时」;本站「透出」亦通	
27	二十七、刚柔	10	如在别支，不〔得〕生化之情，功	得	行	行	形近讹	正写 「不行生」0 「不行」6 「行生」7;讹写「不得生」1		C	见证本作「不行生化之情」;本站「不得」亦通	
28	二十八、顺逆	2	。其气有阴有〔有〕阳，阳含阳生	有			衍文	正写 「有阳」3 「有」1016 「阳」224;讹写「有有阳」1		A	两见证本无叠「有」	有有阳 → 有阳
28	二十八、顺逆	2	其势有清有浊〔〕中清，贵之机	∅	浊	浊	脱文	正写 「浊浊中」0 「浊浊」0 「浊中」1;讹写「浊中」1		A	两见证本作「有清有浊，浊中清」;下「清中浊」对举	有清有浊中清 → 有清有浊，浊中清
28	二十八、顺逆	2	心或日主得时〔很小〕秉令，四柱皆	很小			衍文	正写 「时秉」1 「时」351 「秉」21;讹写「时很小秉」1		A	两见证本无「很小」(现代词,输入法衍)	时很小 → 时
28	二十八、顺逆	6	运大旺财源；〔一交已未〕，运转南方，	一交已未	同本站	同本站	见证本亦同	正写 「交己未」6 「交己」8 「己未」20;讹写「交已未」2	扫描	B	「已」非天干	一交已未 → 一交己未
29	二十九、寒暖	1	成。寒之甚，〔暖〕之至，内有一	暖	瞹	瞹	本站已改			-		
29	二十九、寒暖	1	子月，则一阳〔这〕候，万物怀胎	这	之	之	形近讹	正写 「阳之候」0 「阳之」16 「之候」1;讹写「阳这候」1	注疏+扫描	A	两见证本作「一阳之候」	阳这候 → 阳之候
29	二十九、寒暖	2	万物之理也，〔不可专执西北金水为守则〕，东南木火为	不可专执西北金水为守则	同本站	同本站	见证本亦同	正写 「为寒东」3 「为寒」6 「寒东」3;讹写「为守则东」1	白话	B	与下「东南木火为暖」对举	西北金水为守则 → 西北金水为寒
29	二十九、寒暖	2	，东南木火为〔暖〕。考机之所，	暖	瞹	瞹	本站已改			-		
29	二十九、寒暖	2	鳏寡，无生成〔这〕意也。如此推	这	之	之	形近讹	正写 「成之意」0 「成之」18 「之意」54;讹写「成这意」1	白话+扫描	A	两见证本作「无生成之意」	成这意 → 成之意
29	二十九、寒暖	2	这意也。如此〔推祥〕，不但阴阳配	推祥	同本站	同本站	见证本亦同	正写 「推详不」1 「推详」6 「详不」1;讹写「推祥不」1	注疏	B	祥/详	此推祥 → 此推详
29	二十九、寒暖	2	暖亦不过矣。〔竟四时之序〕，相生而成，	竟四时之序	同本站	同本站	见证本亦同		注疏	C		
29	二十九、寒暖	2	物。若寒甚而〔暖〕无气；过于暖	暖	瞹	瞹	本站已改			-		
29	二十九、寒暖	4	。由引论之，〔年得者寅也〕，地气上稓，	年得者寅也	同本站	同本站	见证本亦同		注疏	C		
29	二十九、寒暖	4	寅也，地气上〔稓〕，木火绝处逢	稓	升	升	形近讹	正写 「上升木」0 「上升」7 「升木」0;讹写「上稓木」1	白话+注疏	A	两见证本作「上升」	气上稓， → 气上升，
29	二十九、寒暖	4	，妙在寅中遥〔中〕，谓之动，动	中	冲	冲	形近讹	正写 「遥冲谓」0 「遥冲」6 「冲谓」3;讹写「遥中谓」1	白话+注疏	A	两见证本作「寅申遥冲」;年支申、时支寅	中遥中， → 中遥冲，
29	二十九、寒暖	6	，所谓寒甚而〔暖〕无气，反以暖	暖	瞹	瞹	本站已改			-		
29	二十九、寒暖	6	暖无气，反以〔暖〕为美，所以初	暖	无瞹	无瞹	形近讹	正写 「以无暖」0 「以无」6 「无暖」0;讹写「以暖」4	注疏	A	两见证本作「无瞹(暖)」;下文喜水忌火,与上「过于暖者，反以无寒为宜」同式	以暖为 → 以无暖为
29	二十九、寒暖	6	以初运乙亥，〔北主水地〕，有喜无忧；	北主水地	同本站	同本站	见证本亦同	正写 「北方水」15 「北方」45 「方水」18;讹写「北主水」2	注疏	B	主/方;本书 39 章「北主」两见证本作「北方」	北主水地 → 北方水地
29	二十九、寒暖	8	焰南离，重逢〔羊〕刃，暖之至矣	羊	刽	刽	本站已改			-		
29	二十九、寒暖	10	萱之并逝，嗟〔壮〕桂之摧残；壬	壮	兰	兰	形近讹	正写 「嗟兰桂」0 「嗟兰」0 「兰桂」0;讹写「嗟壮桂」1	注疏	B	两见证本作「兰桂」(与「椿萱」对)	嗟壮桂 → 嗟兰桂
30	三十、燥湿	0	燥湿，生成品〔泯〕，人道得之，	泯	汇	汇	形近讹	正写 「品汇人」0 「品汇」1 「汇人」0;讹写「品泯人」1	注疏	B	两见证本作「品汇」	成品泯， → 成品汇，
30	三十、燥湿	2	不能为力也。〔慛〕金百炼，不易	慛	惟	惟	形近讹	正写 「也惟金」0 「也惟」4 「惟金」1;讹写「也慛金」1	注疏	B	两见证本作「惟」	也。慛金 → 也。惟金
30	三十、燥湿	4	，名利双全，〔少右〕支中重重湿土	少右	不知	不知	形近讹	正写 「全不知支」0 「全不知」0 「不知支」0;讹写「全少右支」1		B	两见证本作「不知」	，少右支 → ，不知支
30	三十、燥湿	4	无生发之意，〔中〕得用水，不能	中	只	只	形近讹	正写 「意只得」0 「意只」0 「只得」13;讹写「意中得」1		A	两见证本作「只得用水」	意，中得 → 意，只得
30	三十、燥湿	4	，衣食颇丰；〔天地〕丙午丁未二十	天地	至	至	形近讹	正写 「丰至丙」0 「丰至」0 「至丙」17;讹写「丰天地丙」1		A	两见证本作「至丙午丁未」	；天地丙 → ；至丙
31	三十一、隐显	1	注：局中所喜〔这〕神，透于天干	这	之	之	形近讹	正写 「喜之神」8 「喜之」9 「之神」78;讹写「喜这神」1	扫描	A	两见证本作「所喜之神」	喜这神 → 喜之神
31	三十一、隐显	2	而用，假如天〔〕为财，岁运遇	∅	干以甲乙	干以甲乙	脱文(长)	正写 「天干以甲乙为」0 「天干以甲乙」0 「干以甲乙为」0;讹写「天为」2	注疏	B	两见证本作「天干以甲乙为财」;本站脱字不成句(白话已标)	如天为 → 如天干以甲乙为
31	三十一、隐显	6	泄火气，不但〔不争〕无争夺之风，	不争			衍文	正写 「但无」7 「但」83 「无」989;讹写「但不争无」1	注疏	A	两见证本无;「不但无争夺之风」	但不争 → 但
31	三十一、隐显	6	之风，反有生〔生〕之谊。因初交	生	才	才	形近讹	正写 「生财之」0 「生财」0 「财之」0;讹写「生生之」5		B	两见证本作「生才(财)之谊」	有生生之谊 → 有生财之谊
31	三十一、隐显	6	中运三十载西〔〕土金地，化劫	∅	方	方	脱文	正写 「西方土」0 「西方」29 「方土」0;讹写「西土」1		B	两见证本作「西方土金地」	载西土 → 载西方土
32	三十二、众寡	4	际遇，捐纳出〔仕，及已巳〕二十年，土生	仕，及已巳	同本站	同本站	见证本亦同	正写 「及己巳」0 「及己」0 「己巳」18;讹写「及已巳」1	扫描	B	「已」非天干;大运己巳	仕，及已巳 → 仕，及己巳
33	三十三、震兑	12	得其制矣；况〔平〕时逢禄旺，一	平	乎	乎	形近讹	正写 「况乎时」0 「况乎」2 「乎时」2;讹写「况平时」1		B	两见证本作「况乎」	况平时 → 况乎时
34	三十四、坎离	2	升；降者，天〔地〕干坎衰，地支	地			衍文	正写 「天干」218 「天」397 「干」540;讹写「天地干」1	白话	A	两见证本作「天干坎衰」	天地干 → 天干
34	三十四、坎离	8	兴，及癸卯甲〔寅〕，发财数万。	寅	辰	辰	形近讹	正写 「甲辰发」0 「甲辰」8 「辰发」0;讹写「甲寅发」1		A	两见证本作「甲辰」;大运 壬寅 癸卯 甲辰	卯甲寅，发 → 卯甲辰，发
35	一、夫妻	1	，一生富贵在〔子足〕，妻子在于是	子足	于是	于是	形近讹	正写 「在于是妻」0 「在于是」1 「于是妻」0;讹写「在子足妻」1		B	两见证本作「在于是」;下句「妻子在于是」	在子足 → 在于是
35	一、夫妻	1	妻子在于是。〔在〕率依财看妻，	在	大	大	形近讹	正写 「是大率」0 「是大」0 「大率」9;讹写「是在率」1		A	两见证本作「大率」	是。在率 → 是。大率
35	一、夫妻	2	，不特翁妇同〔完〕生孙，有是理	完	宗则显然祖去	宗则显然祖去	异文(长)	正写 「同宗则显然祖去生」0 「同宗则显然祖去」0 「宗则显然祖去生」0;讹写「同完生」1		C	见证本作「同宗则显然祖去生子孙」,本段本站多处脱讹	
35	一、夫妻	2	特翁妇同完生〔〕孙，有是理乎	∅	子	子	脱文	正写 「生子孙」1 「生子」8 「子孙」11;讹写「生孙」3		C		
35	一、夫妻	2	为父母，偏正〔财星〕是也；我生者	财星	印绶	印绶	形近讹	正写 「正印绶是」0 「正印绶」1 「印绶是」1;讹写「正财星是」0	白话	A	两见证本作「偏正印绶」;下句「我克者为妇妾，偏正财星是也」	，偏正财星是也； → ，偏正印绶是也；
35	一、夫妻	2	法，夫财以妻〔讼〕，财中馈贤能	讼	论	论	形近讹	正写 「妻论才」0 「妻论」0 「论才」8;讹写「妻讼才」1		B	两见证本作「以妻论」	以妻讼， → 以妻论，
35	一、夫妻	2	财以妻讼，财〔〕中馈贤能；财	∅	星清则	星清则	脱文	正写 「才星清则中」0 「才星清则」0 「星清则中」0;讹写「才中」2		B	两见证本作「财星清则中馈贤能」	，财中馈 → ，财星清则中馈
35	一、夫妻	2	浊者，生煞坏〔屯〕，争妫无情是	屯	印	印	形近讹	正写 「坏印争」0 「坏印」35 「印争」0;讹写「坏屯争」1	白话	A	两见证本作「坏印」	煞坏屯， → 煞坏印，
35	一、夫妻	2	生煞坏屯，争〔妫〕无情是也。旧	妫	妒	妒	形近讹	正写 「争妒无」0 「争妒」6 「妒无」0;讹写「争妫无」1	白话	B	两见证本作「争妒」	争妫无 → 争妒无
35	一、夫妻	2	贤不克，妻陋〔不〕必亡；官星弱	不			衍文	正写 「陋必」0 「陋」8 「必」439;讹写「陋不必」1		A	两见证本无	陋不必 → 陋必
35	一、夫妻	2	贤而陋，或因〔正好抬〕祸伤身，日主	正好抬	妻招	妻招	形近讹	正写 「因妻招祸」1 「因妻招」1 「妻招祸」1;讹写「因正好抬祸」1		A	两见证本作「妻招祸」;「正好」为输入法衍	正好抬 → 妻招
35	一、夫妻	2	喜用者，必得〔正好〕妻财；日主喜	正好			衍文	正写 「得妻」3 「得」666 「妻」132;讹写「得正好妻」1		A	两见证本无;输入法衍	得正好 → 得
35	一、夫妻	2	财者，必得妻〔务〕。日主喜财，	务	力	力	形近讹	正写 「妻力日」0 「妻力」0 「力日」0;讹写「妻务日」1		B	两见证本作「妻力」	得妻务。 → 得妻力。
35	一、夫妻	2	有外情；日主〔〕喜忌而论。若	∅	忌才才合闲神而化才者主琴瑟不和皆以四柱情势日主	忌才才合闲神而化才者主琴瑟不和皆以四柱情势日主	脱文(长)	正写 「主忌才才合闲神而化才者主琴瑟不和皆以四柱情势日主喜」0 「主忌才才合闲神而化才者主琴瑟不和皆以四柱情势日主」0 「忌才才合闲神而化才者主琴瑟不和皆以四柱情势日主喜」0;讹写「主喜」32		C		
35	一、夫妻	2	星浮泛，宜财〔〕深伏，宜冲动	∅	库以收藏才星	库以收藏才星	脱文(长)	正写 「才库以收藏才星深」0 「才库以收藏才星」0 「库以收藏才星深」0;讹写「才深」1		C		
36	二、子女	1	，或不肖，或〔不肖，或〕有克。然看官	不肖，或			衍文	正写 「或有」7 「或」235 「有」1016;讹写「或不肖或有」1		A	两见证本无此重出	或不肖，或 → 或
36	二、子女	1	，如官轻须要〔功灾民〕；杀重身轻，	功灾民	助官	助官	形近讹	正写 「要助官杀」0 「要助官」0 「助官杀」1;讹写「要功灾民杀」1		B	两见证本作「助官」	功灾民 → 助官
36	二、子女	1	官星阻滞，要〔和〕扶冲发；官星	和	生	生	形近讹	正写 「要生扶」1 「要生」2 「生扶」39;讹写「要和扶」1		A	两见证本作「生扶冲发」	要和扶 → 要生扶
36	二、子女	2	是也。不服官〔俯〕之治者，则为	俯	府	府	形近讹	正写 「官府之」0 「官府」0 「府之」0;讹写「官俯之」1		B	两见证本作「官府」	官俯之 → 官府之
36	二、子女	2	莫非论命竟可〔地〕君无父乎？谚	地	无	无	形近讹	正写 「可无君」0 「可无」2 「无君」0;讹写「可地君」1		B	两见证本作「无君无父」	可地君 → 可无君
36	二、子女	2	云，“父在子〔〕得自专”，若	∅	不	不	脱文	正写 「子不得」0 「子不」7 「不得」23;讹写「子得」1		A	两见证本作「父在子不得自专」;任氏正驳此谚	在子得 → 在子不得
36	二、子女	2	得自专矣，故〔谷〕以克父克母为	谷	俗	俗	形近讹	正写 「故俗以」0 「故俗」0 「俗以」2;讹写「故谷以」1		B	两见证本作「俗」	故谷以 → 故俗以
36	二、子女	2	变之至论也。〔如〕日主旺，无印	如			衍文	正写 「也日」7 「也」1164 「日」692;讹写「也如日」4		B	两见证本无	论也。如日主 → 论也。日主
36	二、子女	2	日主旺，印绶〔得〕，食伤轻，子	得	重	重	形近讹	正写 「绶重食」1 「绶重」13 「重食」4;讹写「绶得食」1		A	两见证本作「印绶重」	印绶得， → 印绶重，
36	二、子女	2	轻，有财星，〔预防〕多而贤；日主	预防	子	子	形近讹	正写 「星子多」1 「星子」4 「子多」8;讹写「星预防多」1		A	两见证本作「子多而贤」	，预防多 → ，子多
36	二、子女	2	；日主旺，印〔〕必无；日主弱	∅	绶多无食伤有才星子多而能日主弱印绶轻有才星子	绶多无食伤有才星子多而能日主弱印绶轻有才星子	脱文(长)	正写 「印绶多无食伤有才星子多而能日主弱印绶轻有才星子必」0 「印绶多无食伤有才星子多而能日主弱印绶轻有才星子」0 「绶多无食伤有才星子多而能日主弱印绶轻有才星子必」0;讹写「印必」2		C		
36	二、子女	2	食伤重，印绶〔地〕，亦无子；日	地	无	无	形近讹	正写 「绶无亦」0 「绶无」6 「无亦」1;讹写「绶地亦」1		A	两见证本作「印绶无」	印绶地， → 印绶无，
36	二、子女	2	轻，无比劫，〔爱〕星，子必无；	爱	有官	有官	形近讹	正写 「劫有官星」0 「劫有官」0 「有官星」4;讹写「劫爱星」1		B	两见证本作「有官星」	劫，爱星 → 劫，有官星
36	二、子女	2	无；日主弱，〔断〕杀重，印绶轻	断	官	官	形近讹	正写 「弱官杀」3 「弱官」10 「官杀」67;讹写「弱断杀」1		A	两见证本作「官杀重」	弱，断杀 → 弱，官杀
36	二、子女	2	，官杀轻，有〔〕印绶 ，遇财	∅	才星子虽克则有孙日主旺食伤旺有	才星子虽克则有孙日主旺食伤旺有	脱文(长)	正写 「有才星子虽克则有孙日主旺食伤旺有印」0 「有才星子虽克则有孙日主旺食伤旺有」0 「才星子虽克则有孙日主旺食伤旺有印」0;讹写「有印」33		C		
36	二、子女	2	 ，遇财星，〔〕有子必逆。又	∅	虽	虽	脱文	正写 「星虽有」0 「星虽」2 「虽有」32;讹写「星有」18		B	两见证本作「虽有子必逆」	星，有子 → 星，虽有子
36	二、子女	2	，遇财星，有〔〕子必逆。又有	∅	若无日主弱官杀旺有印绶遇才星有	若无日主弱官杀旺有印绶遇才星有	脱文(长)	正写 「有若无日主弱官杀旺有印绶遇才星有子」0 「有若无日主弱官杀旺有印绶遇才星有」0 「若无日主弱官杀旺有印绶遇才星有子」0;讹写「有子」13		C		
36	二、子女	2	日主旺，比劫〔我〕，无印绶，食	我	多	多	形近讹	正写 「劫多无」0 「劫多」6 「多无」7;讹写「劫我无」1		A	两见证本作「比劫多」	比劫我， → 比劫多，
36	二、子女	2	多者，盖母多〔恶意〕子之意也。故	恶意	灭	灭	形近讹	正写 「多灭子」2 「多灭」2 「灭子」5;讹写「多恶意子」1		A	两见证本作「母多灭子」	多恶意 → 多灭
36	二、子女	2	杀为子也，此〔这〕谓也。明虽以	这	之	之	形近讹	正写 「此之谓」5 「此之」6 「之谓」27;讹写「此这谓」1	扫描	A	两见证本作「此之谓也」	此这谓 → 此之谓
36	二、子女	2	官杀为子也。〔〕大率身旺财为	∅	暗仍以食伤为子此逆局反克相生之法非竟以官杀为子也	暗仍以食伤为子此逆局反克相生之法非竟以官杀为子也	脱文(长)	正写 「也暗仍以食伤为子此逆局反克相生之法非竟以官杀为子也大」0 「也暗仍以食伤为子此逆局反克相生之法非竟以官杀为子也」0 「暗仍以食伤为子此逆局反克相生之法非竟以官杀为子也大」0;讹写「也大」6		C		
36	二、子女	4	〔〕此造日主旺，	∅	用神为子忌神为女	用神为子忌神为女	脱文(长)	正写 「用神为子忌神为女此」0 「用神为子忌神为女」0 「用神为子忌神为女此」0;讹写「此」578		C	两见证本另有「用神为子，忌神为女」一行,似标题	
36	二、子女	4	寒冻也，是以〔农〕业富厚，更喜	农	家	家	形近讹	正写 「以家业」0 「以家」0 「家业」52;讹写「以农业」1		B	两见证本作「家业」	以农业 → 以家业
